measurements_parameter,city,location,measurements_value,measurements_lastupdated
O3,,"Lumpyngngad, Shillong - Meghalaya PCB",1.06,2022-10-16 16:00:00+00:00
NO2,,"Railway Colony, Guwahati - PCBA",2.99,2022-10-31 01:45:00+00:00
O3,,"Railway Colony, Guwahati - PCBA",24.43,2022-10-31 01:45:00+00:00
PM10,,"City Center, Gwalior - MPPCB",132.0,2022-10-16 16:00:00+00:00
O3,,"Marhatal, Jabalpur - MPPCB",44.2,2022-10-16 16:00:00+00:00
NO2,,"Sanjay Nagar, Ghaziabad - UPPCB",78.2,2022-10-31 02:00:00+00:00
PM10,,"Borivali East, Mumbai - IITM",36.65,2022-07-08 07:15:00+00:00
NO2,,"Kadri, Mangalore - KSPCB",47.8,2022-10-31 01:45:00+00:00
PM2.5,,"Naubad, Bidar - KSPCB",985.0,2021-07-19 06:45:00+00:00
PM2.5,,"Panchal Nagar, Gadag - KSPCB",21.25,2022-10-15 09:30:00+00:00
PM2.5,,"Siddharth Nagar-Worli, Mumbai - IITM",62.24,2022-10-16 16:00:00+00:00
PM2.5,,"Naharlagun, Naharlagun - APSPCB",6.43,2022-10-15 02:45:00+00:00
CO,,"Motilal Nehru NIT, Prayagraj - UPPCB",1390.0,2022-10-31 02:00:00+00:00
O3,,"Rakhial, Ahmedabad - IITM",10.58,2022-07-13 06:30:00+00:00
O3,,"Chandkheda, Ahmedabad - IITM",2.0,2022-10-16 15:45:00+00:00
NO2,,"SAC ISRO Satellite, Ahmedabad - IITM",9.6,2022-07-07 09:15:00+00:00
PM2.5,,"Mirchaibari, Katihar - BSPCB",108.0,2022-10-16 15:45:00+00:00
PM2.5,,"Mariam Nagar, Purnia - BSPCB",173.0,2022-10-31 01:45:00+00:00
PM2.5,,"Police Line, Saharsa - BSPCB",81.0,2022-10-16 15:45:00+00:00
CO,,"Darshan Nagar, Chhapra - BSPCB",790.0,2022-10-31 01:45:00+00:00
CO,,"Dangi Tola, Rajgir - BSPCB",1840.0,2022-10-16 15:45:00+00:00
NO2,,"Forest Rest House, Manguraha - BSPCB",16.5,2022-10-16 15:45:00+00:00
CO,,"Buddhi Vihar, Moradabad - UPPCB",2090.0,2022-10-16 16:00:00+00:00
PM2.5,,"New DM Office, Arrah - BSPCB",127.0,2022-10-31 01:45:00+00:00
CO,,"Kharahiya Basti, Araria - BSPCB",3090.0,2022-10-31 01:45:00+00:00
CO,,"DM Office_Kasipur, Samastipur - BSPCB",290.0,2022-10-31 01:45:00+00:00
SO2,,"JN Stadium, Shillong - Meghalaya PCB",9.58,2022-10-15 05:45:00+00:00
PM2.5,,"Manipur University, Imphal - Manipur PCB",0.0,2022-10-15 09:45:00+00:00
NO2,,"Ramachandrapuram, Hyderabad - TSPCB",3.4,2022-10-31 02:00:00+00:00
PM2.5,,"Kokapet, Hyderabad - TSPCB",21.5,2022-10-31 02:00:00+00:00
PM10,,"Kumaran College, Tirupur - TNPCB",76.5,2022-10-16 15:45:00+00:00
PM10,,"Bombay Castel, Ooty - TNPCB",23.0,2022-10-15 10:45:00+00:00
PM10,,"SIPCOT Phase-1, Hosur - TNPCB",90.0,2022-10-31 01:45:00+00:00
NO2,,"IITG, Guwahati - PCBA",1.12,2022-10-16 12:15:00+00:00
PM10,,"Moti Doongri, Alwar - RSPCB",133.54,2022-10-31 02:00:00+00:00
O3,,"Pusa, New Delhi - IMD",17.53,2018-05-14 02:00:00+00:00
CO,,"Ashok Nagar, Udaipur - RSPCB",590.0,2022-10-31 01:45:00+00:00
SO2,,"Collectorate, Jodhpur - RSPCB",7.8,2022-10-31 01:45:00+00:00
PM2.5,,"Sector-2 Industrial Area, Pithampur - MPPCB",120.0,2022-10-31 02:00:00+00:00
SO2,,"Anand Kala Kshetram, Rajamahendravaram - APPCB",3.3,2022-10-31 02:00:00+00:00
PM10,,"Anand Kala Kshetram, Rajamahendravaram - APPCB",86.0,2022-10-31 02:00:00+00:00
PM10,,"ITO, Delhi - CPCB",209.0,2020-01-20 07:15:00+00:00
PM10,,"NSIT Dwarka, Delhi - CPCB",357.6,2022-10-31 02:00:00+00:00
PM10,,"Lodhi Road, Delhi - IMD",155.4,2022-10-16 10:15:00+00:00
O3,,"Sanathnagar, Hyderabad - TSPCB",36.1,2022-10-31 02:00:00+00:00
O3,,"Vivek Vihar, Delhi - DPCC",181.1,2018-05-10 09:00:00+00:00
SO2,,"Sonia Vihar, Delhi - DPCC",0.1,2018-05-11 11:45:00+00:00
O3,,"Narela, Delhi - DPCC",105.1,2018-05-12 04:30:00+00:00
O3,,"Okhla Phase-2, Delhi - DPCC",62.2,2018-05-12 05:30:00+00:00
CO,,"Punjabi Bagh, Delhi - DPCC",1500.0,2022-10-16 14:15:00+00:00
SO2,,"Mandir Marg, Delhi - DPCC",17.8,2022-10-31 00:45:00+00:00
CO,,"Mandir Marg, Delhi - DPCC",0.0,2022-10-31 00:45:00+00:00
O3,,"New Mandi, Muzaffarnagar - UPPCB",21.99,2022-10-31 02:00:00+00:00
PM2.5,,"New Mandi, Muzaffarnagar - UPPCB",69.0,2022-10-31 02:00:00+00:00
SO2,,"Vasai West, Mumbai - MPCB",1.28,2022-10-31 02:00:00+00:00
SO2,,"Gobind Pura, Yamuna Nagar - HSPCB",12.38,2022-10-31 01:30:00+00:00
NO2,,"Dr. Karni Singh Shooting Range, Delhi - DPCC",97.5,2022-10-31 00:30:00+00:00
CO,,"Arya Nagar, Bahadurgarh - HSPCB",790.0,2022-10-31 01:30:00+00:00
PM2.5,,"Sector-10, Gandhinagar - GPCB",35.29,2022-10-31 01:45:00+00:00
NO2,,"Vivek Vihar, Delhi - DPCC",21.1,2022-10-31 00:45:00+00:00
CO,,"Kalal Majra, Khanna - PPCB",0.75,2022-10-31 01:00:00+00:00
NO2,,"Kurla, Mumbai - MPCB",38.05,2022-10-31 02:00:00+00:00
CO,,"Municipal Corporation Office, Dharuhera -  HSPCB",1010.0,2022-10-31 01:45:00+00:00
PM2.5,,"Municipal Corporation Office, Dharuhera -  HSPCB",212.2,2022-10-31 01:45:00+00:00
NO2,,"F-Block, Sirsa - HSPCB",30.73,2022-10-31 02:00:00+00:00
PM2.5,,"Chikkaballapur Rural, Chikkaballapur - KSPCB",66.0,2022-10-31 02:00:00+00:00
CO,,"Powai, Mumbai - MPCB",1320.0,2022-10-16 13:15:00+00:00
NO2,,"Sector-18, Panipat - HSPCB",24.35,2022-10-31 01:45:00+00:00
PM2.5,,"Huda Sector, Fatehabad - HSPCB",94.4,2022-10-16 15:45:00+00:00
PM2.5,,"Shastri Nagar, Narnaul - HSPCB",59.0,2022-10-31 02:00:00+00:00
CO,,"Shyam Nagar, Palwal - HSPCB",1350.0,2020-01-01 09:15:00+00:00
O3,,"MD University, Rohtak - HSPCB",37.88,2022-10-31 01:45:00+00:00
SO2,,"Hebbal 1st Stage, Mysuru - KSPCB",5.49,2020-01-03 11:15:00+00:00
CO,,"Gole Bazar, Katni - MPPCB",400.0,2020-01-07 09:15:00+00:00
O3,,"Gole Bazar, Katni - MPPCB",65.4,2020-01-07 09:15:00+00:00
O3,,"SFTI Kusdihra, Gaya - BSPCB",6.14,2022-10-16 15:30:00+00:00
NO2,,"Bandra, Mumbai - MPCB",0.0,2021-11-19 11:00:00+00:00
PM2.5,,"GIDC, Nandesari - Nandesari Ind. Association",230.0,2022-10-16 10:15:00+00:00
NO2,,"GIDC, Nandesari - Nandesari Ind. Association",1.0,2022-10-16 10:15:00+00:00
PM10,,"MD University, Rohtak - HSPCB",72.92,2017-10-13 09:15:00+00:00
CO,,"Peenya, Bengaluru - KSPCB",970.0,2018-02-22 02:45:00+00:00
NO2,,"Civil Line, Jalandhar - PPCB",25.07,2022-10-31 02:00:00+00:00
PM2.5,,"Tata Stadium, Jorapokhar - JSPCB",0.0,2021-03-12 12:00:00+00:00
PM2.5,,"Wazirpur, Delhi - DPCC",210.0,2022-10-31 00:45:00+00:00
SO2,,"Anand Vihar, Delhi - DPCC",2.4,2021-09-20 07:45:00+00:00
CO,,"Rajbansi Nagar, Patna - BSPCB",1470.0,2022-10-16 15:45:00+00:00
SO2,,"Manali Village, Chennai - TNPCB",9.29,2022-10-31 02:00:00+00:00
NO2,,"Murthal, Sonipat - HSPCB",20.1,2022-10-16 16:00:00+00:00
SO2,,"T T Nagar, Bhopal - MPPCB",20.8,2022-10-16 16:00:00+00:00
PM10,,"Polayathode, Kollam - Kerala PCB",40.39,2022-10-16 15:45:00+00:00
PM2.5,,"Sahilara, Maihar - KJS Cements",15.88,2022-10-31 01:45:00+00:00
O3,,"Vinoba Nagara, Shivamogga - KSPCB",28.24,2022-10-16 16:00:00+00:00
SO2,,"Meelavittan, Thoothukudi - TNPCB",11.8,2022-10-16 16:00:00+00:00
NO2,,"Deonar, Mumbai - IITM",4.53,2022-10-16 15:45:00+00:00
O3,,"Chakala-Andheri East, Mumbai - IITM",11.0,2022-10-16 13:00:00+00:00
O3,,"Haji Colony, Raichur - KSPCB",13.1,2022-10-16 09:30:00+00:00
O3,,"Jawahar Nagar, Puducherry - PPCC",18.05,2022-10-16 16:00:00+00:00
SO2,,"Naharlagun, Naharlagun - APSPCB",18.02,2022-10-15 02:45:00+00:00
SO2,,"Jhunsi, Prayagraj - UPPCB",24.21,2022-10-16 16:00:00+00:00
CO,,"B R Ambedkar University, Lucknow - UPPCB",670.0,2022-10-16 16:00:00+00:00
SO2,,"Gyaspur, Ahmedabad - IITM",23.34,2022-07-07 08:45:00+00:00
PM10,,"Sector-3B Avas Vikas Colony, Agra - UPPCB",141.8,2022-10-16 16:00:00+00:00
SO2,,"SVPI Airport Hansol, Ahmedabad - IITM",2.47,2022-07-07 09:15:00+00:00
PM10,,"SVPI Airport Hansol, Ahmedabad - IITM",78.7,2022-07-07 09:15:00+00:00
NO2,,"Shastripuram, Agra - UPPCB",20.54,2022-10-16 16:00:00+00:00
PM2.5,,"Bhelupur, Varanasi - UPPCB",103.4,2022-10-16 16:00:00+00:00
PM2.5,,"Town Hall, Munger - BSPCB",105.0,2022-10-31 01:45:00+00:00
PM10,,"Kareemganj, Gaya - BSPCB",223.0,2022-10-31 01:45:00+00:00
PM10,,"Police Line, Saharsa - BSPCB",150.0,2022-10-16 15:45:00+00:00
CO,,"Forest Rest House, Manguraha - BSPCB",920.0,2022-10-16 15:45:00+00:00
PM10,,"Jigar Colony, Moradabad - UPPCB",87.44,2022-10-31 02:00:00+00:00
NO2,,"Sardar Patel Inter College, Baghpat - UPPCB",88.3,2022-10-31 02:00:00+00:00
NO2,,"Manipur University, Imphal - Manipur PCB",4.48,2022-10-15 09:45:00+00:00
SO2,,"Manipur University, Imphal - Manipur PCB",49.11,2022-10-15 09:45:00+00:00
NO2,,"Dwarka-Sector 8, Delhi - DPCC",44.9,2022-10-31 00:45:00+00:00
NO2,,"Sector-10, Gandhinagar - GPCB",7.71,2022-10-31 01:45:00+00:00
SO2,,"Vivek Vihar, Delhi - DPCC",0.6,2022-10-31 00:45:00+00:00
O3,,"Kalal Majra, Khanna - PPCB",21.08,2022-10-31 01:00:00+00:00
SO2,,"Kurla, Mumbai - MPCB",12.58,2022-10-31 02:00:00+00:00
NO2,,"Murthal, Sonipat - HSPCB",79.32,2020-01-02 06:45:00+00:00
CO,,"Sion, Mumbai - MPCB",1960.0,2022-09-16 09:00:00+00:00
PM10,,"Hombegowda Nagar, Bengaluru - KSPCB",44.0,2022-10-16 16:00:00+00:00
PM10,,"Knowledge Park - V, Greater Noida - UPPCB",369.0,2022-10-31 02:00:00+00:00
CO,,"R K Puram, Delhi - DPCC",2000.0,2022-10-30 11:15:00+00:00
NO2,,"Shyam Nagar, Palwal - HSPCB",8.43,2020-01-01 09:15:00+00:00
NO2,,"Chhoti Gwaltoli, Indore - MPPCB",37.3,2020-01-06 09:15:00+00:00
SO2,,"East Arjun Nagar, Delhi - CPCB",31.65,2020-02-10 03:00:00+00:00
CO,,"Bandra, Mumbai - MPCB",250.0,2021-11-19 11:00:00+00:00
PM2.5,India,Kolkata,109.0,2025-01-31 09:30:00+00:00
O3,,"Mandir Marg, Delhi - DPCC",2.6,2018-02-21 21:15:00+00:00
NO2,,"BTM Layout, Bengaluru - KSPCB",131.87,2018-02-22 03:00:00+00:00
CO,,Collectorate Jodhpur - RSPCB,70.0,2018-02-22 03:45:00+00:00
PM10,,"Sector16A, Faridabad - HSPCB",110.0,2018-01-29 13:50:00+00:00
SO2,,"Model Town, Patiala - PPCB",8.78,2022-10-31 01:45:00+00:00
CO,,"MIDC Khutala, Chandrapur - MPCB",960.0,2022-10-11 12:45:00+00:00
PM10,,"MIDC Khutala, Chandrapur - MPCB",19.08,2022-10-11 12:45:00+00:00
PM10,,"Gangapur Road, Nashik - MPCB",71.84,2022-10-31 02:00:00+00:00
NO2,,"Lajpat Nagar, Moradabad - UPPCB",9.4,2022-01-13 05:45:00+00:00
CO,,"Chandrapur, Chandrapur - MPCB",560.0,2022-10-31 02:00:00+00:00
SO2,,"RIMT University, Mandi Gobindgarh - PPCB",13.67,2022-10-31 02:00:00+00:00
CO,,"Sector-D Industrial Area, Mandideep - MPPCB",1750.0,2022-10-31 02:00:00+00:00
SO2,,"Indira Colony Vistar, Pali - RSPCB",9.84,2022-10-31 01:45:00+00:00
NO2,,"Indira Colony Vistar, Pali - RSPCB",19.57,2022-10-31 01:45:00+00:00
SO2,,"Nehru Nagar, Kanpur - UPPCB",8.4,2022-10-31 02:00:00+00:00
CO,,"Nehru Nagar, Kanpur - UPPCB",660.0,2022-10-31 02:00:00+00:00
O3,,"Dr. Karni Singh Shooting Range, Delhi - DPCC",3.0,2018-05-09 11:00:00+00:00
PM10,,"Ghusuri, Howrah - WBPCB",76.33,2018-05-09 18:15:00+00:00
CO,,"Jawaharlal Nehru Stadium, Delhi - DPCC",900.0,2018-05-10 09:30:00+00:00
PM10,,"Narela, Delhi - DPCC",407.0,2018-05-12 06:00:00+00:00
NO2,,"Sri Aurobindo Marg, Delhi - DPCC",25.4,2022-10-31 00:45:00+00:00
NO2,,"Najafgarh, Delhi - DPCC",24.1,2022-10-31 00:45:00+00:00
SO2,,"ITO, Delhi - CPCB",8.4,2022-10-31 01:45:00+00:00
O3,,"Civil Lines,  Ajmer - RSPCB",4.73,2022-10-31 01:45:00+00:00
CO,,"Mini Secretariat, Charkhi Dadri - HSPCB",800.0,2022-10-16 16:00:00+00:00
SO2,,"Sector-51, Gurugram - HSPCB",4.94,2022-10-16 16:00:00+00:00
PM10,,"Ghusuri, Howrah - WBPCB",175.18,2022-10-16 15:45:00+00:00
PM2.5,,"Palayam, Kozhikode - Kerala PCB",50.0,2022-10-16 04:45:00+00:00
CO,,"Kalyana Nagara, Chikkamagaluru - KSPCB",280.0,2022-10-16 16:00:00+00:00
NO2,,"Sahilara, Maihar - KJS Cements",10.7,2022-10-31 01:45:00+00:00
NO2,,"Ballygunge, Kolkata - WBPCB",24.6,2022-10-16 16:00:00+00:00
SO2,,"Arumbakkam, Chennai - TNPCB",7.9,2022-10-16 16:00:00+00:00
SO2,,"Malad West, Mumbai - IITM",18.84,2022-10-16 15:45:00+00:00
NO2,,"Mulund West, Mumbai - MPCB",18.98,2022-10-16 15:45:00+00:00
PM2.5,,"Diwator Nagar, Koppal - KSPCB",100.78,2022-10-16 14:45:00+00:00
PM10,,"Pan Bazaar, Guwahati - PCBA",87.0,2022-10-16 16:00:00+00:00
PM2.5,,"Tamaka Ind. Area, Kolar - KSPCB",985.0,2022-05-31 11:30:00+00:00
CO,,"MIT-Kothrud, Pune - IITM",960.0,2022-07-11 05:15:00+00:00
O3,,"Siddharth Nagar-Worli, Mumbai - IITM",19.0,2022-10-16 16:00:00+00:00
NO2,,"Siddharth Nagar-Worli, Mumbai - IITM",45.37,2022-10-16 16:00:00+00:00
PM2.5,,"Jhunsi, Prayagraj - UPPCB",107.67,2022-10-16 16:00:00+00:00
SO2,,"Chandkheda, Ahmedabad - IITM",0.0,2022-10-16 15:45:00+00:00
SO2,,"Sector-3B Avas Vikas Colony, Agra - UPPCB",18.18,2022-10-16 16:00:00+00:00
O3,,"IESD Banaras Hindu University, Varanasi - UPPCB",0.0,2022-10-16 15:45:00+00:00
PM2.5,,"IESD Banaras Hindu University, Varanasi - UPPCB",64.9,2022-10-16 15:45:00+00:00
SO2,,"Madan Mohan Malaviya University of Technology, Gorakhpur - UPPCB",36.75,2022-10-31 02:00:00+00:00
O3,,"NSI Kalyanpur, Kanpur - UPPCB",3.21,2022-10-31 02:00:00+00:00
CO,,"Kukrail Picnic Spot-1, Lucknow - UPPCB",1040.0,2022-10-16 16:00:00+00:00
NO2,,"Nagar Nigam, Prayagraj - UPPCB",26.13,2022-10-31 02:00:00+00:00
SO2,,"Employment Office, Moradabad - UPPCB",23.65,2022-10-31 02:00:00+00:00
SO2,,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",12.3,2022-10-31 01:45:00+00:00
SO2,,"Chitragupta Nagar, Siwan - BSPCB",13.9,2022-10-31 01:45:00+00:00
PM2.5,,"Darshan Nagar, Chhapra - BSPCB",182.0,2022-10-31 01:45:00+00:00
CO,,"Rohta, Agra - UPPCB",1760.0,2022-10-31 02:00:00+00:00
SO2,,"Zero Point GICI, Gangtok - SSPCB",12.2,2022-10-31 01:45:00+00:00
NO2,,"JN Stadium, Shillong - Meghalaya PCB",6.33,2022-10-15 05:45:00+00:00
NO2,,"Doon University, Dehradun - UKPCB",0.0,2022-10-16 15:45:00+00:00
PM2.5,,"IITH Kandi, Hyderabad - TSPCB",19.35,2022-10-31 02:00:00+00:00
SO2,,"Kashiram Nagar, Moradabad - UPPCB",11.55,2022-10-31 02:00:00+00:00
CO,,"Vasanthapuram, Vellore - TNPCB",130.0,2022-10-27 03:00:00+00:00
CO,,"Chalai Bazaar, Ramanathapuram - TNPCB",380.0,2022-10-31 02:00:00+00:00
O3,,"Mendonsa Colony, Dindigul - TNPCB",1.77,2022-10-16 16:00:00+00:00
PM10,,"PSG College of Arts and Science, Coimbatore - TNPCB",42.44,2022-10-05 13:00:00+00:00
O3,,"Crescent University, Chengalpattu - TNPCB",6.24,2022-10-14 04:30:00+00:00
SO2,,"Paryavaran Parisar, Bhopal - MPPCB",6.1,2022-10-31 01:45:00+00:00
SO2,,"Major Dhyan Chand National Stadium, Delhi - DPCC",0.1,2022-10-31 00:30:00+00:00
NO2,,"Hardev Nagar, Bathinda - PPCB",21.61,2022-10-31 01:45:00+00:00
NO2,,"H.B. Colony, Bhiwani - HSPCB",38.14,2022-10-31 01:45:00+00:00
PM10,,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",184.0,2022-10-31 01:45:00+00:00
O3,,"Sector-2 IMT, Manesar - HSPCB",4.52,2022-10-31 01:45:00+00:00
PM2.5,,"Police Lines, Jind - HSPCB",303.7,2022-10-31 01:45:00+00:00
O3,,"Huda Sector, Fatehabad - HSPCB",43.17,2022-10-16 15:45:00+00:00
SO2,,"Huda Sector, Fatehabad - HSPCB",9.22,2022-10-16 15:45:00+00:00
SO2,,"Bapuji Nagar, Bengaluru - KSPCB",4.4,2022-10-31 02:00:00+00:00
NO2,,"Bapuji Nagar, Bengaluru - KSPCB",20.4,2022-10-31 02:00:00+00:00
SO2,,"Fort William, Kolkata - WBPCB",8.94,2022-10-31 01:45:00+00:00
PM2.5,,"Hebbal, Bengaluru - KSPCB",67.0,2022-10-31 02:00:00+00:00
PM10,,"Yamunapuram, Bulandshahr - UPPCB",302.0,2022-10-31 01:00:00+00:00
NO2,,"Knowledge Park - V, Greater Noida - UPPCB",56.2,2022-10-31 02:00:00+00:00
NO2,,"Shyam Nagar, Palwal - HSPCB",6.15,2022-10-31 01:30:00+00:00
PM2.5,,"Okhla Phase-2, Delhi - DPCC",266.0,2022-10-31 00:45:00+00:00
O3,,"Anand Vihar, Delhi - DPCC",17.87,2018-01-23 04:30:00+00:00
PM2.5,,"IHBAS, Delhi - CPCB",11.9,2018-02-22 02:45:00+00:00
PM2.5,,Collectorate Jodhpur - RSPCB,146.3,2018-02-22 03:45:00+00:00
NO2,,IIT,6.13,2018-02-22 03:45:00+00:00
NO2,,"Manali, Chennai - CPCB",16.86,2022-10-16 15:00:00+00:00
PM2.5,,Ardhali Bazar,288.0,2018-02-22 03:00:00+00:00
CO,,Nehru Nagar,2450.0,2018-02-22 03:15:00+00:00
CO,,"MD University, Rohtak - HSPCB",840.0,2020-01-01 11:00:00+00:00
O3,,"MIDC Khutala, Chandrapur - MPCB",3.06,2022-10-11 12:45:00+00:00
SO2,,"MIDC Khutala, Chandrapur - MPCB",2.96,2022-10-11 12:45:00+00:00
O3,,"Secretariat, Amaravati - APPCB",12.3,2022-10-31 02:00:00+00:00
PM2.5,,"Anand Kala Kshetram, Rajamahendravaram - APPCB",52.0,2022-10-31 02:00:00+00:00
NO2,,"Shastri Nagar, Jaipur - RSPCB",81.0,2022-10-31 01:45:00+00:00
CO,,"RIMT University, Mandi Gobindgarh - PPCB",660.0,2022-10-31 02:00:00+00:00
CO,,"GVM Corporation, Visakhapatnam - APPCB",460.0,2022-10-31 02:00:00+00:00
O3,,"Shadipur, Delhi - CPCB",8.02,2022-10-31 02:00:00+00:00
SO2,,"Shrinath Puram, Kota - RSPCB",10.71,2022-10-31 02:00:00+00:00
CO,,"R K Puram, New Delhi - DPCC",3000.0,2018-05-06 19:30:00+00:00
PM2.5,,"R K Puram, New Delhi - DPCC",213.0,2018-05-12 04:45:00+00:00
SO2,,"Sanegurava Halli, Bengaluru - KSPCB",5.22,2022-10-31 02:00:00+00:00
PM2.5,,"Tirumala, Tirupati - APPCB",70.0,2022-10-31 02:00:00+00:00
CO,,"Velachery Res. Area, Chennai - CPCB",940.0,2022-10-31 01:45:00+00:00
PM2.5,,"Lalbagh, Lucknow - CPCB",116.9,2022-10-31 01:45:00+00:00
O3,,"Patparganj, Delhi - DPCC",139.3,2018-05-08 06:30:00+00:00
PM10,,"Dr. Karni Singh Shooting Range, Delhi - DPCC",249.0,2018-05-12 04:45:00+00:00
O3,,"Dwarka-Sector 8, Delhi - DPCC",187.9,2018-05-12 05:00:00+00:00
PM10,,"Ashok Vihar, Delhi - DPCC",366.0,2018-05-12 06:00:00+00:00
SO2,,"Bandhavgar Colony, Satna - Birla Cement",5.77,2022-10-31 02:00:00+00:00
NO2,,"Bandhavgar Colony, Satna - Birla Cement",12.21,2022-10-31 02:00:00+00:00
CO,,"Nehru Nagar, Delhi - DPCC",300.0,2022-10-31 00:45:00+00:00
SO2,,"Nehru Nagar, Delhi - DPCC",5.7,2022-10-31 00:45:00+00:00
PM10,,"Vyttila, Kochi - Kerala PCB",69.75,2022-10-16 16:00:00+00:00
SO2,,"Ashok Vihar, Delhi - DPCC",0.9,2022-10-31 00:45:00+00:00
CO,,"Narela, Delhi - DPCC",100.0,2022-10-31 00:45:00+00:00
NO2,,"Victoria, Kolkata - WBPCB",21.26,2022-10-31 01:45:00+00:00
CO,,"Samanpura, Patna - BSPCB",1280.0,2022-10-16 15:45:00+00:00
PM10,,"Samanpura, Patna - BSPCB",509.1,2022-10-16 15:45:00+00:00
CO,,"Chhoti Gwaltoli, Indore - MPPCB",2270.0,2022-10-16 16:00:00+00:00
SO2,,"PWD Juction, Kohima - NPCB",217.5,2022-10-16 16:00:00+00:00
PM10,,"Railway Colony, Guwahati - PCBA",42.0,2022-10-31 01:45:00+00:00
SO2,,"Rabindra Sarobar, Kolkata - WBPCB",7.9,2022-10-31 01:45:00+00:00
PM10,,"Murthal, Sonipat - HSPCB",155.52,2022-10-16 16:00:00+00:00
O3,,"Vijay Nagar, Ramanagara - KSPCB",27.05,2022-10-31 02:00:00+00:00
PM2.5,,"Marhatal, Jabalpur - MPPCB",51.0,2022-10-16 16:00:00+00:00
SO2,,"Kacheripady, Ernakulam - Kerala PCB",1.31,2022-10-16 16:00:00+00:00
PM10,,"Sanjay Nagar, Ghaziabad - UPPCB",351.0,2022-10-31 02:00:00+00:00
PM10,,"Kodungaiyur, Chennai - TNPCB",27.0,2022-10-16 16:00:00+00:00
CO,,"Bhosari, Pune - IITM",2350.0,2022-07-07 04:45:00+00:00
PM2.5,,"Bhosari, Pune - IITM",17.48,2022-07-07 04:45:00+00:00
PM10,,"Malad West, Mumbai - IITM",101.09,2022-10-16 15:45:00+00:00
PM10,,"Mulund West, Mumbai - MPCB",86.0,2022-10-16 15:45:00+00:00
O3,,"Pan Bazaar, Guwahati - PCBA",10.71,2022-10-16 16:00:00+00:00
CO,,"Pan Bazaar, Guwahati - PCBA",930.0,2022-10-16 16:00:00+00:00
CO,,"Jawahar Nagar, Puducherry - PPCC",410.0,2022-10-16 16:00:00+00:00
PM10,,"Rajbagh, Srinagar - JKSPCB",240.8,2022-10-16 16:00:00+00:00
NO2,,"Brahmagiri, Udupi - KSPCB",3.42,2022-10-15 09:00:00+00:00
PM10,,"B.Katihalli, Hassan - KSPCB",985.0,2022-10-16 15:45:00+00:00
SO2,,"B R Ambedkar University, Lucknow - UPPCB",10.8,2022-10-16 16:00:00+00:00
NO2,,"Sector-3B Avas Vikas Colony, Agra - UPPCB",38.87,2022-10-16 16:00:00+00:00
NO2,,"IESD Banaras Hindu University, Varanasi - UPPCB",20.84,2022-10-16 15:45:00+00:00
PM2.5,,"NSI Kalyanpur, Kanpur - UPPCB",132.86,2022-10-31 02:00:00+00:00
CO,,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",370.0,2022-10-16 15:45:00+00:00
NO2,,"Sector 22, Chandigarh - CPCC",71.7,2022-10-31 01:45:00+00:00
PM10,,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",128.0,2022-10-31 01:45:00+00:00
SO2,,"Kareemganj, Gaya - BSPCB",6.6,2022-10-31 01:30:00+00:00
SO2,,"Police Line, Saharsa - BSPCB",0.1,2022-10-16 13:45:00+00:00
O3,,"Darshan Nagar, Chhapra - BSPCB",20.6,2022-10-31 01:45:00+00:00
O3,,"Sector-53, Chandigarh - CPCC",5.2,2022-10-31 01:45:00+00:00
SO2,,"Bardowali, Agartala - Tripura SPCB",28.13,2022-10-31 02:00:00+00:00
NO2,,"Gurdeo Nagar, Aurangabad - BSPCB",46.1,2022-10-31 01:45:00+00:00
CO,,"DRCC Anandpur, Begusarai - BSPCB",540.0,2022-10-31 01:45:00+00:00
PM10,,"Rajendra Nagar, Bareilly - UPPCB",125.64,2022-10-31 02:00:00+00:00
PM10,,"New Malakpet, Hyderabad - TSPCB",40.58,2022-10-31 02:00:00+00:00
PM2.5,,"SIPCOT Phase-1, Hosur - TNPCB",46.9,2022-10-31 01:45:00+00:00
SO2,,"Civil Lines, Bareilly - UPPCB",10.84,2022-10-31 02:00:00+00:00
PM10,,"Paryavaran Parisar, Bhopal - MPPCB",131.0,2022-10-31 01:45:00+00:00
PM2.5,,Dhopagachi,263.5914560953776,2025-01-13 23:00:00+00:00
PM10,,"Major Dhyan Chand National Stadium, Delhi - DPCC",327.0,2022-10-31 00:45:00+00:00
PM10,,"Gobind Pura, Yamuna Nagar - HSPCB",112.4,2022-10-31 01:30:00+00:00
PM10,,"Dwarka-Sector 8, Delhi - DPCC",423.0,2022-10-31 00:45:00+00:00
SO2,,"Railway Colony, Guwahati - APCB",11.38,2019-12-24 07:30:00+00:00
CO,,"Belur Math, Howrah - WBPCB",0.0,2022-10-31 01:45:00+00:00
CO,,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",830.0,2022-10-31 01:45:00+00:00
PM10,,"Municipal Corporation Office, Dharuhera -  HSPCB",259.4,2022-10-31 01:45:00+00:00
O3,,"Jadavpur, Kolkata - WBPCB",7.86,2022-10-31 02:00:00+00:00
NO2,,"Shrivastav Colony, Damoh - MPPCB",4.42,2022-10-31 02:00:00+00:00
