country_name_en,measurements_parameter,city,location,measurements_value,measurements_lastupdated
India,CO,,"SAC ISRO Bopal, Ahmedabad - IITM",0.0,2022-06-22 08:45:00+00:00
India,CO,,"Nagar Nigam, Prayagraj - UPPCB",1520.0,2022-10-31 02:00:00+00:00
India,CO,,"Mangala, Bilaspur - NTPC",1000.0,2022-10-31 02:00:00+00:00
India,CO,,"Mirchaibari, Katihar - BSPCB",310.0,2022-10-16 15:45:00+00:00
India,CO,,"Jigar Colony, Moradabad - UPPCB",740.0,2022-10-31 02:00:00+00:00
India,CO,,"Shivaji Nagar, Jhansi - UPPCB",1480.0,2022-10-31 02:00:00+00:00
India,CO,,"Girls College, Sivasagar - PCBA",500.0,2022-10-31 02:00:00+00:00
India,CO,,"Jawaharlal Nehru Stadium, Delhi - DPCC",700.0,2022-10-31 00:45:00+00:00
India,CO,,Collectorate - Muzaffarpur - BSPCB,2080.0,2018-02-21 23:45:00+00:00
India,CO,,"Lajpat Nagar, Moradabad - UPPCB",680.0,2022-01-13 05:45:00+00:00
India,CO,,"CRRI Mathura Road, Delhi - IMD",960.0,2022-10-31 01:15:00+00:00
India,CO,,"Shrinath Puram, Kota - RSPCB",1020.0,2022-10-31 02:00:00+00:00
India,CO,,"Bidhannagar, Kolkata - WBPCB",660.0,2022-10-16 15:45:00+00:00
India,CO,,"City Center, Gwalior - MPPCB",1310.0,2022-10-16 16:00:00+00:00
India,CO,,"Sector 11, Faridabad - HSPCB",1960.0,2022-10-16 15:45:00+00:00
India,CO,,"Vinoba Nagara, Shivamogga - KSPCB",560.0,2022-10-16 16:00:00+00:00
India,CO,,"Mhada Colony, Pune - IITM",750.0,2022-10-16 16:00:00+00:00
India,CO,,"Kandivali East, Mumbai - MPCB",270.0,2022-10-16 15:45:00+00:00
India,CO,,"SVPI Airport Hansol, Ahmedabad - IITM",3330.0,2022-07-07 09:15:00+00:00
India,CO,,"Kashiram Nagar, Moradabad - UPPCB",580.0,2022-10-31 02:00:00+00:00
India,CO,,"Police Commissionerate, Jaipur - RSPCB",1370.0,2022-10-31 01:45:00+00:00
India,CO,,"Adarsh Nagar, Jaipur - RSPCB",1960.0,2022-10-31 02:00:00+00:00
India,CO,,"Narela, Delhi - DPCC",1400.0,2018-05-12 04:30:00+00:00
India,CO,,"Manali Village, Chennai - TNPCB",650.0,2019-07-19 05:15:00+00:00
India,CO,,"Kurla, Mumbai - MPCB",640.0,2022-10-31 02:00:00+00:00
India,CO,,"Hebbal 1st Stage, Mysuru - KSPCB",340.0,2020-01-03 11:15:00+00:00
India,CO,,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB",350.0,2022-10-31 01:00:00+00:00
India,CO,,"Talkatora District Industries Center, Lucknow - CPCB",880.0,2022-10-31 02:00:00+00:00
India,CO,,"Punjabi Bagh, Delhi - DPCC",2000.0,2018-05-12 06:00:00+00:00
India,CO,,"Model Town, Patiala - PPCB",2060.0,2022-10-31 01:45:00+00:00
India,CO,,"Hebbal 1st Stage, Mysuru - KSPCB",1150.0,2022-10-31 02:00:00+00:00
India,CO,,"Motilal Nehru NIT, Prayagraj - UPPCB",1390.0,2022-10-31 02:00:00+00:00
India,CO,,"Darshan Nagar, Chhapra - BSPCB",790.0,2022-10-31 01:45:00+00:00
India,CO,,"Dangi Tola, Rajgir - BSPCB",1840.0,2022-10-16 15:45:00+00:00
India,CO,,"Buddhi Vihar, Moradabad - UPPCB",2090.0,2022-10-16 16:00:00+00:00
